date,node,cpu,int,mem,hd
2014-02-01 03:10:00,nodeId02.ret.org,10.5,0,91.1,NA
2014-02-01 03:10:00,nodeIn01.ret.org,10,0.01,92.01,NA
2014-02-01 03:10:00,nodeIn02.ret.org,12,0.01,92.07,NA
2014-02-01 03:15:00,nodeId01.ret.org,8.5,0.03,91.73,NA
2014-02-01 03:15:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 03:15:00,nodeIn01.ret.org,10,0.01,92,NA
2014-02-01 03:15:00,nodeIn02.ret.org,12,0.01,92.07,NA
2014-02-01 03:20:00,nodeId01.ret.org,8.5,0.02,91.73,NA
2014-02-01 03:20:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 03:20:00,nodeIn01.ret.org,10,0.01,92,NA
2014-02-01 03:20:00,nodeIn02.ret.org,12,0.01,92.08,NA
2014-02-01 03:25:00,nodeId01.ret.org,8.5,0.02,91.73,NA
2014-02-01 03:25:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 03:25:00,nodeIn01.ret.org,10,0.03,91.99,NA
2014-02-01 03:25:00,nodeIn02.ret.org,11.5,0.01,92.09,NA
2014-02-01 03:30:00,nodeId01.ret.org,8.5,0.03,91.74,NA
2014-02-01 03:30:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 03:30:00,nodeIn01.ret.org,9.5,0.01,91.99,NA
2014-02-01 03:30:00,nodeIn02.ret.org,12,0.01,92.09,NA
2014-02-01 03:35:00,nodeId01.ret.org,8.5,0.02,91.74,NA
2014-02-01 03:35:00,nodeId02.ret.org,9.5,0,91.11,NA
2014-02-01 03:35:00,nodeIn01.ret.org,10.5,0.01,92,NA
2014-02-01 03:35:00,nodeIn02.ret.org,12.5,0.01,92.11,NA
2014-02-01 03:40:00,nodeId01.ret.org,8.5,0.02,91.74,NA
2014-02-01 03:40:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 03:40:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 03:40:00,nodeIn02.ret.org,11.5,0.01,92.1,NA
2014-02-01 03:45:00,nodeId01.ret.org,8.5,0.03,91.74,NA
2014-02-01 03:45:00,nodeId02.ret.org,9,0,91.11,NA
2014-02-01 03:45:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 03:45:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 03:50:00,nodeId01.ret.org,8.5,0.02,91.74,NA
2014-02-01 03:50:00,nodeId02.ret.org,9.5,0,91.11,NA
2014-02-01 03:50:00,nodeIn01.ret.org,10,0.01,92,NA
2014-02-01 03:50:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 03:55:00,nodeId01.ret.org,8.5,0.03,91.74,NA
2014-02-01 03:55:00,nodeId02.ret.org,9.5,0,91.11,NA
2014-02-01 03:55:00,nodeIn01.ret.org,10,0.03,91.99,NA
2014-02-01 03:55:00,nodeIn02.ret.org,11.5,0.01,92.09,NA
2014-02-01 04:00:00,nodeId01.ret.org,9,0.02,91.49,NA
2014-02-01 04:00:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 04:00:00,nodeIn01.ret.org,10.5,0.01,91.99,NA
2014-02-01 04:00:00,nodeIn02.ret.org,12,0.01,92.09,NA
2014-02-01 04:05:00,nodeId01.ret.org,9,0.02,91.5,NA
2014-02-01 04:05:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 04:05:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 04:05:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 04:10:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 04:10:00,nodeId02.ret.org,10,0,91.1,NA
2014-02-01 04:10:00,nodeIn01.ret.org,10,0.01,92.01,NA
2014-02-01 04:10:00,nodeIn02.ret.org,11.5,0.01,92.1,NA
2014-02-01 04:15:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 04:15:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 04:15:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 04:15:00,nodeIn02.ret.org,13.5,0.01,92.09,NA
2014-02-01 04:20:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 04:20:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 04:20:00,nodeIn01.ret.org,10,0.02,92.01,NA
2014-02-01 04:20:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 04:25:00,nodeId01.ret.org,8.5,0.03,91.51,NA
2014-02-01 04:25:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 04:25:00,nodeIn01.ret.org,10,0.03,92.01,NA
2014-02-01 04:25:00,nodeIn02.ret.org,12,0.01,92.09,NA
2014-02-01 04:30:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 04:30:00,nodeId02.ret.org,9.5,0,91.22,NA
2014-02-01 04:30:00,nodeIn01.ret.org,10.5,0.01,92,NA
2014-02-01 04:30:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 04:35:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 04:35:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 04:35:00,nodeIn01.ret.org,10.5,0.01,92,NA
2014-02-01 04:35:00,nodeIn02.ret.org,12,0.01,92.09,NA
2014-02-01 04:40:00,nodeId01.ret.org,8.5,0.01,91.51,NA
2014-02-01 04:40:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 04:40:00,nodeIn01.ret.org,16.5,0.02,92,NA
2014-02-01 04:40:00,nodeIn02.ret.org,11.5,0.01,92.1,NA
2014-02-01 04:45:00,nodeId01.ret.org,9,0.02,91.5,NA
2014-02-01 04:45:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 04:45:00,nodeIn01.ret.org,10,0.01,92.01,NA
2014-02-01 04:45:00,nodeIn02.ret.org,11.5,0.01,92.1,NA
2014-02-01 04:50:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 04:50:00,nodeId02.ret.org,10.5,0,91.22,NA
2014-02-01 04:50:00,nodeIn01.ret.org,10,0.02,92,NA
2014-02-01 04:50:00,nodeIn02.ret.org,11.5,0.01,92.09,NA
2014-02-01 04:55:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 04:55:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 04:55:00,nodeIn01.ret.org,10.5,0.03,92,NA
2014-02-01 04:55:00,nodeIn02.ret.org,11.5,0.01,92.1,NA
2014-02-01 05:00:00,nodeId01.ret.org,9,0.02,91.5,NA
2014-02-01 05:00:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:00:00,nodeIn01.ret.org,10.5,0.03,91.96,NA
2014-02-01 05:00:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 05:05:00,nodeId01.ret.org,8.5,0.03,91.51,NA
2014-02-01 05:05:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:05:00,nodeIn01.ret.org,10,0.02,91.95,NA
2014-02-01 05:05:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 05:10:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 05:10:00,nodeId02.ret.org,10,0,91.23,NA
2014-02-01 05:10:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 05:10:00,nodeIn02.ret.org,12,0.01,92.1,NA
